Feature	Name	Rank	Ranking	Diff
EC6.1.1.15	proline---tRNA ligase	144	ACE	NA
PF01515.19	PTA_PTB	145	ACE	NA
EC3.1.1.11	pectinesterase	146	ACE	NA
PF00180.20	Iso_dh	147	ACE	NA
EC3.6.3.21	ABC-type polar-amino-acid transporter	148	ACE	NA
PF13970.6	DUF4221	149	ACE	NA
EC1.4.1.1	alanine dehydrogenase	150	ACE	NA
PF08298.11	AAA_PrkA	151	ACE	NA
EC3.2.1.141	4-alpha-D-{(1->4)-alpha-D-glucano}trehalose trehalohydrolase	152	ACE	NA
PF17194.4	AbiEi_3_N	153	ACE	NA
EC3.1.13.1	exoribonuclease II	154	ACE	NA
PF01261.24	AP_endonuc_2	155	ACE	NA
EC3.6.3.4	P-type Cu2+ transporter	156	ACE	NA
PF14464.6	Prok-JAB	157	ACE	NA
EC2.1.2.10	aminomethyltransferase	158	ACE	NA
PF12639.7	Colicin-DNase	159	ACE	NA
EC2.8.3.18	succinyl-CoA:acetate CoA-transferase	160	ACE	NA
PF16694.5	Cytochrome_P460	161	ACE	NA
EC2.4.1.21	starch synthase (glycosyl-transferring)	162	ACE	NA
PF03984.13	DUF346	163	ACE	NA
EC4.1.2.14	2-dehydro-3-deoxy-phosphogluconate aldolase	164	ACE	NA
PF05235.14	CHAD	165	ACE	NA
EC1.2.1.41	glutamate-5-semialdehyde dehydrogenase	166	ACE	NA
PF13452.6	MaoC_dehydrat_N	167	ACE	NA
EC2.7.2.11	glutamate 5-kinase	168	ACE	NA
PF11104.8	PilM_2	169	ACE	NA
EC3.6.3.6	P-type H+-exporting transporter	170	ACE	NA
PF05988.12	DUF899	171	ACE	NA
EC1.3.1.42	12-oxophytodienoate reductase	172	ACE	NA
PF01134.22	GIDA	173	ACE	NA
EC6.2.1.30	phenylacetate---CoA ligase	174	ACE	NA
PF01411.19	tRNA-synt_2c	175	ACE	NA
EC1.2.1.27	methylmalonate-semialdehyde dehydrogenase (CoA-acylating)	176	ACE	NA
PF01135.19	PCMT	177	ACE	NA
EC1.3.5.1	succinate dehydrogenase	178	ACE	NA
PF06983.13	3-dmu-9_3-mt	179	ACE	NA
EC1.18.1.3	ferredoxin---NAD+ reductase	180	ACE	NA
PF06433.11	Me-amine-dh_H	181	ACE	NA
EC3.5.1.84	biuret amidohydrolase	182	ACE	NA
PF02653.16	BPD_transp_2	183	ACE	NA
EC1.8.1.16	glutathione amide reductase	184	ACE	NA
PF00355.26	Rieske	185	ACE	NA
EC1.9.3.1	cytochrome-c oxidase	186	ACE	NA
PF13298.6	LigD_N	187	ACE	NA
EC1.17.1.8	4-hydroxy-tetrahydrodipicolinate reductase	188	ACE	NA
PF04304.13	DUF454	189	ACE	NA
EC2.1.2.2	phosphoribosylglycinamide formyltransferase	190	ACE	NA
PF00498.26	FHA	191	ACE	NA
EC5.4.2.12	phosphoglycerate mutase (2,3-diphosphoglycerate-independent)	192	ACE	NA
PF04069.12	OpuAC	193	ACE	NA
EC4.1.3.16	4-hydroxy-2-oxoglutarate aldolase	194	ACE	NA
PF14378.6	PAP2_3	195	ACE	NA
EC3.4.21.53	endopeptidase La	196	ACE	NA
PF17866.1	AAA_lid_6	197	ACE	NA
EC6.3.4.2	CTP synthase (glutamine hydrolysing)	198	ACE	NA
PF13419.6	HAD_2	199	ACE	NA
EC3.2.1.20	alpha-glucosidase	200	ACE	NA
PF06496.11	DUF1097	201	ACE	NA
EC1.14.13.25	methane monooxygenase (soluble)	202	ACE	NA
PF12706.7	Lactamase_B_2	203	ACE	NA
EC6.2.1.5	succinate---CoA ligase (ADP-forming)	204	ACE	NA
PF02979.16	NHase_alpha	205	ACE	NA
EC2.7.1.40	pyruvate kinase	206	ACE	NA
PF05834.12	Lycopene_cycl	207	ACE	NA
EC2.3.1.46	homoserine O-succinyltransferase	208	ACE	NA
PF00126.27	HTH_1	209	ACE	NA
EC6.3.2.9	UDP-N-acetylmuramoyl-L-alanine---D-glutamate ligase	210	ACE	NA
PF13412.6	HTH_24	211	ACE	NA
EC3.5.1.49	formamidase	212	ACE	NA
PF18614.1	RNase_II_C_S1	213	ACE	NA
EC2.3.1.47	8-amino-7-oxononanoate synthase	214	ACE	NA
PF07660.14	STN	215	ACE	NA
EC6.1.1.7	alanine---tRNA ligase	216	ACE	NA
PF13377.6	Peripla_BP_3	217	ACE	NA
EC2.1.1.163	demethylmenaquinone methyltransferase	218	ACE	NA
PF13844.6	Glyco_transf_41	219	ACE	NA
EC1.18.6.1	nitrogenase	220	ACE	NA
PF00438.20	S-AdoMet_synt_N	221	ACE	NA
EC3.6.3.14	H+-transporting two-sector ATPase	222	ACE	NA
PF00111.27	Fer2	223	ACE	NA
EC4.1.99.13	(6-4)DNA photolyase	224	ACE	NA
PF02735.16	Ku	225	ACE	NA
EC3.6.1.54	UDP-2,3-diacylglucosamine diphosphatase	226	ACE	NA
PF01259.18	SAICAR_synt	227	ACE	NA
EC3.2.1.73	licheninase	228	ACE	NA
PF13344.6	Hydrolase_6	229	ACE	NA
EC1.1.2.4	D-lactate dehydrogenase (cytochrome)	230	ACE	NA
PF01643.17	Acyl-ACP_TE	231	ACE	NA
EC2.3.1.n2	NA	232	ACE	NA
PF14414.6	WHH	233	ACE	NA
EC1.5.8.2	trimethylamine dehydrogenase	234	ACE	NA
PF03264.14	Cytochrom_NNT	235	ACE	NA
EC1.2.4.1	pyruvate dehydrogenase (acetyl-transferring)	236	ACE	NA
PF06078.11	DUF937	237	ACE	NA
EC1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	238	ACE	NA
PF00171.22	Aldedh	239	ACE	NA
EC3.5.4.27	methenyltetrahydromethanopterin cyclohydrolase	240	ACE	NA
PF01565.23	FAD_binding_4	241	ACE	NA
EC2.5.1.29	geranylgeranyl diphosphate synthase	242	ACE	NA
PF00723.21	Glyco_hydro_15	243	ACE	NA
EC3.2.1.21	beta-glucosidase	244	ACE	NA
PF03881.14	Fructosamin_kin	245	ACE	NA
EC3.5.2.3	dihydroorotase	246	ACE	NA
PF01205.19	UPF0029	247	ACE	NA
EC2.7.7.7	DNA-directed DNA polymerase	248	ACE	NA
PF01068.21	DNA_ligase_A_M	249	ACE	NA
EC3.6.3.31	ABC-type polyamine transporter	250	ACE	NA
PF00484.19	Pro_CA	251	ACE	NA
EC3.6.3.8	P-type Ca2+ transporter	252	ACE	NA
PF03918.14	CcmH	253	ACE	NA
EC1.19.1.1	flavodoxin---NADP+ reductase	254	ACE	NA
PF03600.16	CitMHS	255	ACE	NA
EC2.1.1.79	cyclopropane-fatty-acyl-phospholipid synthase	256	ACE	NA
PF00691.20	OmpA	257	ACE	NA
EC2.1.1.176	16S rRNA (cytosine967-C5)-methyltransferase	258	ACE	NA
PF02148.19	zf-UBP	259	ACE	NA
EC1.1.1.205	IMP dehydrogenase	260	ACE	NA
PF00392.21	GntR	261	ACE	NA
EC2.7.7.77	molybdenum cofactor guanylyltransferase	262	ACE	NA
PF00487.24	FA_desaturase	263	ACE	NA
EC2.7.4.1	polyphosphate kinase	264	ACE	NA
PF02588.15	YitT_membrane	265	ACE	NA
EC2.7.2.8	acetylglutamate kinase	266	ACE	NA
PF00384.22	Molybdopterin	267	ACE	NA
EC6.3.4.18	5-(carboxyamino)imidazole ribonucleotide synthase	268	ACE	NA
PF03150.14	CCP_MauG	269	ACE	NA
EC1.3.1.28	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	270	ACE	NA
PF05658.14	YadA_head	271	ACE	NA
EC2.3.1.157	glucosamine-1-phosphate N-acetyltransferase	272	ACE	NA
PF02772.16	S-AdoMet_synt_M	273	ACE	NA
EC2.5.1.72	quinolinate synthase	274	ACE	NA
PF00455.22	DeoRC	275	ACE	NA
EC3.2.1.23	beta-galactosidase	276	ACE	NA
PF00535.26	Glycos_transf_2	277	ACE	NA
EC5.4.4.2	isochorismate synthase	278	ACE	NA
PF06415.13	iPGM_N	279	ACE	NA
EC1.4.3.16	L-aspartate oxidase	280	ACE	NA
PF14803.6	Nudix_N_2	281	ACE	NA
EC4.2.1.99	2-methylisocitrate dehydratase	282	ACE	NA
PF03308.16	MeaB	283	ACE	NA
EC6.4.1.4	methylcrotonoyl-CoA carboxylase	284	ACE	NA
PF08310.11	LGFP	285	ACE	NA
EC6.1.1.6	lysine---tRNA ligase	286	ACE	NA
PF16327.5	CcmF_C	287	ACE	NA
EC2.1.1.282	tRNAPhe 7-[(3-amino-3-carboxypropyl)-4-demethylwyosine37-N4]-methyltransferase	288	ACE	NA
PF00361.20	Proton_antipo_M	289	ACE	NA
EC2.3.3.16	citrate synthase (unknown stereospecificity)	290	ACE	NA
PF01493.19	GXGXG	291	ACE	NA
EC1.18.1.2	ferredoxin---NADP+ reductase	292	ACE	NA
PF13806.6	Rieske_2	293	ACE	NA
EC3.6.1.23	dUTP diphosphatase	294	ACE	NA
PF13579.6	Glyco_trans_4_4	295	ACE	NA
EC2.3.1.79	maltose O-acetyltransferase	296	ACE	NA
PF02894.17	GFO_IDH_MocA_C	297	ACE	NA
EC2.3.1.179	beta-ketoacyl-[acyl-carrier-protein] synthase II	298	ACE	NA
PF03331.13	LpxC	299	ACE	NA
EC6.1.1.20	phenylalanine---tRNA ligase	300	ACE	NA
PF05762.14	VWA_CoxE	301	ACE	NA
EC3.6.3.54	P-type Cu+ transporter	302	ACE	NA
PF02239.16	Cytochrom_D1	303	ACE	NA
EC5.3.1.12	glucuronate isomerase	304	ACE	NA
PF01522.21	Polysacc_deac_1	305	ACE	NA
EC1.1.1.267	1-deoxy-D-xylulose-5-phosphate reductoisomerase	306	ACE	NA
PF13692.6	Glyco_trans_1_4	307	ACE	NA
EC6.1.1.1	tyrosine---tRNA ligase	308	ACE	NA
PF06434.13	Aconitase_2_N	309	ACE	NA
EC2.3.1.199	very-long-chain 3-oxoacyl-CoA synthase	310	ACE	NA
PF01521.20	Fe-S_biosyn	311	ACE	NA
EC1.2.1.11	aspartate-semialdehyde dehydrogenase	312	ACE	NA
PF00375.18	SDF	313	ACE	NA
EC2.8.1.1	thiosulfate sulfurtransferase	314	ACE	NA
PF00450.22	Peptidase_S10	315	ACE	NA
EC1.2.4.2	oxoglutarate dehydrogenase (succinyl-transferring)	316	ACE	NA
PF07237.11	DUF1428	317	ACE	NA
EC1.3.3.3	coproporphyrinogen oxidase	318	ACE	NA
PF13243.6	SQHop_cyclase_C	319	ACE	NA
EC1.2.1.70	glutamyl-tRNA reductase	320	ACE	NA
PF00201.18	UDPGT	321	ACE	NA
EC5.1.2.2	mandelate racemase	322	ACE	NA
PF13279.6	4HBT_2	323	ACE	NA
EC3.6.3.27	ABC-type phosphate transporter	324	ACE	NA
PF13439.6	Glyco_transf_4	325	ACE	NA
EC3.8.1.5	haloalkane dehalogenase	326	ACE	NA
PF02040.15	ArsB	327	ACE	NA
EC2.7.1.191	protein-Npi-phosphohistidine---D-mannose phosphotransferase	328	ACE	NA
PF14693.6	Ribosomal_TL5_C	329	ACE	NA
EC2.7.4.3	adenylate kinase	330	ACE	NA
PF02386.16	TrkH	331	ACE	NA
EC3.5.4.25	GTP cyclohydrolase II	332	ACE	NA
PF07728.14	AAA_5	333	ACE	NA
EC2.6.1.62	adenosylmethionine---8-amino-7-oxononanoate transaminase	334	ACE	NA
PF13185.6	GAF_2	335	ACE	NA
EC2.3.3.5	2-methylcitrate synthase	336	ACE	NA
PF02706.15	Wzz	337	ACE	NA
EC2.1.1.186	23S rRNA (cytidine2498-2'-O)-methyltransferase	338	ACE	NA
PF02563.16	Poly_export	339	ACE	NA
EC2.6.1.59	dTDP-4-amino-4,6-dideoxygalactose transaminase	340	ACE	NA
PF02272.19	DHHA1	341	ACE	NA
EC3.5.1.28	N-acetylmuramoyl-L-alanine amidase	342	ACE	NA
PF12358.8	DUF3644	343	ACE	NA
EC3.6.1.7	acylphosphatase	344	ACE	NA
PF13946.6	DUF4214	345	ACE	NA
EC1.16.3.1	ferroxidase	346	ACE	NA
PF01048.20	PNP_UDP_1	347	ACE	NA
EC2.6.1.106	dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase	348	ACE	NA
PF03088.16	Str_synth	349	ACE	NA
EC4.1.1.3	oxaloacetate decarboxylase	350	ACE	NA
EC4.1.1.3	oxaloacetate decarboxylase (Na+ extruding)	350	ACE	NA
PF02781.16	G6PD_C	351	ACE	NA
EC1.14.14.5	alkanesulfonate monooxygenase	352	ACE	NA
PF00479.22	G6PD_N	353	ACE	NA
EC2.7.1.25	adenylyl-sulfate kinase	354	ACE	NA
PF01126.20	Heme_oxygenase	355	ACE	NA
EC3.1.4.53	3',5'-cyclic-AMP phosphodiesterase	356	ACE	NA
PF06685.11	DUF1186	357	ACE	NA
EC3.1.3.3	phosphoserine phosphatase	358	ACE	NA
PF03725.15	RNase_PH_C	359	ACE	NA
EC5.4.2.8	phosphomannomutase	360	ACE	NA
PF13584.6	BatD	361	ACE	NA
EC1.1.1.44	phosphogluconate dehydrogenase (NADP+-dependent, decarboxylating)	362	ACE	NA
PF14358.6	DUF4405	363	ACE	NA
EC2.6.1.48	5-aminovalerate transaminase	364	ACE	NA
PF08003.11	Methyltransf_9	365	ACE	NA
EC2.4.1.18	1,4-alpha-glucan branching enzyme	366	ACE	NA
PF00732.19	GMC_oxred_N	367	ACE	NA
EC3.6.3.24	ABC-type Ni2+ transporter	368	ACE	NA
PF01928.21	CYTH	369	ACE	NA
EC3.5.1.25	N-acetylglucosamine-6-phosphate deacetylase	370	ACE	NA
PF09492.10	Pec_lyase	371	ACE	NA
EC2.7.1.71	shikimate kinase	372	ACE	NA
PF02719.15	Polysacc_synt_2	373	ACE	NA
EC4.1.1.81	threonine-phosphate decarboxylase	374	ACE	NA
PF13672.6	PP2C_2	375	ACE	NA
EC6.2.1.1	acetate---CoA ligase	376	ACE	NA
PF01494.19	FAD_binding_3	377	ACE	NA
EC2.7.3.9	phosphoenolpyruvate---protein phosphotransferase	378	ACE	NA
PF06580.13	His_kinase	379	ACE	NA
EC2.5.1.6	methionine adenosyltransferase	380	ACE	NA
PF00356.21	LacI	381	ACE	NA
EC2.7.7.38	3-deoxy-manno-octulosonate cytidylyltransferase	382	ACE	NA
PF13823.6	ADH_N_assoc	383	ACE	NA
EC6.5.1.1	DNA ligase (ATP)	384	ACE	NA
PF13434.6	K_oxygenase	385	ACE	NA
EC3.5.4.2	adenine deaminase	386	ACE	NA
PF18019.1	HD_6	387	ACE	NA
EC2.3.1.183	phosphinothricin acetyltransferase	388	ACE	NA
PF01012.21	ETF	389	ACE	NA
EC1.13.11.57	gallate dioxygenase	390	ACE	NA
PF01479.25	S4	391	ACE	NA
EC3.5.3.6	arginine deiminase	392	ACE	NA
PF00263.21	Secretin	393	ACE	NA
EC6.4.1.1	pyruvate carboxylase	394	ACE	NA
PF06165.11	Glyco_transf_36	395	ACE	NA
EC3.5.4.16	GTP cyclohydrolase I	396	ACE	NA
PF01209.18	Ubie_methyltran	397	ACE	NA
EC3.4.23.36	signal peptidase II	398	ACE	NA
PF13525.6	YfiO	399	ACE	NA
EC2.7.4.25	(d)CMP kinase	400	ACE	NA
PF08238.12	Sel1	401	ACE	NA
EC3.5.1.14	N-acyl-aliphatic-L-amino acid amidohydrolase	402	ACE	NA
PF02896.18	PEP-utilizers_C	403	ACE	NA
EC3.6.3.28	ABC-type phosphonate transporter	404	ACE	NA
PF12245.8	Big_3_2	405	ACE	NA
EC6.3.4.12	glutamate---methylamine ligase	406	ACE	NA
PF01633.20	Choline_kinase	407	ACE	NA
EC3.7.1.3	kynureninase	408	ACE	NA
PF13510.6	Fer2_4	409	ACE	NA
EC2.7.13.3	histidine kinase	410	ACE	NA
PF02773.16	S-AdoMet_synt_C	411	ACE	NA
EC2.3.1.16	acetyl-CoA C-acyltransferase	412	ACE	NA
PF00248.21	Aldo_ket_red	413	ACE	NA
EC4.1.99.3	deoxyribodipyrimidine photo-lyase	414	ACE	NA
PF00266.19	Aminotran_5	415	ACE	NA
EC2.7.7.56	tRNA nucleotidyltransferase	416	ACE	NA
PF04960.15	Glutaminase	417	ACE	NA
EC2.4.2.4	thymidine phosphorylase	418	ACE	NA
PF13435.6	Cytochrome_C554	419	ACE	NA
EC5.3.1.28	D-sedoheptulose 7-phosphate isomerase	420	ACE	NA
PF13641.6	Glyco_tranf_2_3	421	ACE	NA
EC3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase	422	ACE	NA
PF06833.11	MdcE	423	ACE	NA
EC5.4.99.27	tRNA pseudouridine13 synthase	424	ACE	NA
PF04679.15	DNA_ligase_A_C	425	ACE	NA
EC2.6.1.52	phosphoserine transaminase	426	ACE	NA
PF09363.10	XFP_C	427	ACE	NA
EC1.14.11.17	taurine dioxygenase	428	ACE	NA
PF01374.18	Glyco_hydro_46	429	ACE	NA
EC3.6.4.12	DNA helicase	430	ACE	NA
PF00486.28	Trans_reg_C	431	ACE	NA
EC2.4.2.1	purine-nucleoside phosphorylase	432	ACE	NA
PF01380.22	SIS	433	ACE	NA
EC2.1.1.172	16S rRNA (guanine1207-N2)-methyltransferase	434	ACE	NA
PF17213.3	Hydin_ADK	435	ACE	NA
EC2.5.1.3	thiamine phosphate synthase	436	ACE	NA
PF02776.18	TPP_enzyme_N	437	ACE	NA
EC4.1.1.37	uroporphyrinogen decarboxylase	438	ACE	NA
PF08543.12	Phos_pyr_kin	439	ACE	NA
EC4.1.99.22	GTP 3',8-cyclase	440	ACE	NA
PF08357.11	SEFIR	441	ACE	NA
EC6.3.4.20	7-cyano-7-deazaguanine synthase	442	ACE	NA
PF01292.20	Ni_hydr_CYTB	443	ACE	NA
EC2.7.1.39	homoserine kinase	444	ACE	NA
PF00534.20	Glycos_transf_1	445	ACE	NA
EC2.7.1.23	NAD+ kinase	446	ACE	NA
PF11533.8	DUF3225	447	ACE	NA
EC2.6.1.18	beta-alanine---pyruvate transaminase	448	ACE	NA
PF03379.13	CcmB	449	ACE	NA
EC3.2.1.10	oligo-1,6-glucosidase	450	ACE	NA
PF04168.12	Alpha-E	451	ACE	NA
EC2.8.1.6	biotin synthase	452	ACE	NA
PF13750.6	Big_3_3	453	ACE	NA
EC3.1.3.1	alkaline phosphatase	454	ACE	NA
PF10282.9	Lactonase	455	ACE	NA
EC5.3.1.13	arabinose-5-phosphate isomerase	456	ACE	NA
PF02938.14	GAD	457	ACE	NA
EC4.2.1.136	ADP-dependent NAD(P)H-hydrate dehydratase	458	ACE	NA
PF05977.13	MFS_3	459	ACE	NA
EC1.14.16.1	phenylalanine 4-monooxygenase	460	ACE	NA
PF02347.16	GDC-P	461	ACE	NA
EC2.1.2.3	phosphoribosylaminoimidazolecarboxamide formyltransferase	462	ACE	NA
PF08494.11	DEAD_assoc	463	ACE	NA
EC1.14.19.1	stearoyl-CoA 9-desaturase	464	ACE	NA
PF00165.23	HTH_AraC	465	ACE	NA
EC6.1.1.10	methionine---tRNA ligase	466	ACE	NA
PF13328.6	HD_4	467	ACE	NA
EC3.1.26.5	ribonuclease P	468	ACE	NA
PF09490.10	CbtA	469	ACE	NA
EC3.3.2.9	microsomal epoxide hydrolase	470	ACE	NA
PF03976.14	PPK2	471	ACE	NA
EC4.2.1.12	phosphogluconate dehydratase	472	ACE	NA
PF13580.6	SIS_2	473	ACE	NA
EC1.18.1.1	rubredoxin---NAD+ reductase	474	ACE	NA
