locusId	Feature
H16_RS10330	EC:2.1.1.298
H16_RS24870	EC:4.1.99.12
PHG380	EC:2.7.7.6
H16_RS17625	EC:1.14.12.17
H16_RS15755	EC:4.1.1.23
H16_RS00265	EC:3.6.4.13
H16_RS31490	EC:2.7.1.2
H16_RS00805	EC:1.3.8.4
H16_RS09790	EC:1.13.11.1
H16_RS03840	EC:6.3.2.10
H16_RS10875	EC:3.6.3.4
H16_RS07700	EC:4.2.1.33
H16_RS17235	EC:1.8.1.8
H16_RS06990	EC:1.14.13.208
H16_RS24245	EC:1.11.1.15
H16_RS06575	EC:1.5.5.1
H16_RS22070	EC:2.3.1.9
H16_RS28500	EC:2.6.1.37
H16_RS21830	EC:4.3.1.19
H16_RS21435	EC:1.14.13.7
H16_RS02120	EC:4.2.1.96
H16_RS06955	EC:1.3.5.2
H16_RS00585	EC:2.8.1.8
H16_RS10325	EC:3.5.1.18
H16_RS14520	EC:2.1.3.2
H16_RS05480	EC:2.5.1.18
H16_RS15260	EC:1.3.1.98
H16_RS31480	EC:2.7.13.3
H16_RS01090	EC:2.4.2.10
H16_RS30905	EC:2.5.1.129
H16_RS17250	EC:2.7.7.6
H16_RS17530	EC:6.2.1.3
H16_RS16170	EC:6.1.1.15
H16_RS05155	EC:1.1.1.86
H16_RS21200	EC:2.8.1.7
H16_RS14080	EC:6.3.4.20
H16_RS11765	EC:6.3.4.4
H16_RS13015	EC:4.2.1.20
H16_RS01235	EC:2.7.7.72
H16_RS18085	EC:4.3.1.17
H16_RS10990	EC:1.6.5.3
H16_RS15600	EC:2.8.1.13
H16_RS07145	EC:1.1.1.36
H16_RS18170	EC:3.6.3.14
H16_RS23890	EC:1.9.3.1
H16_RS31495	EC:3.1.1.31
H16_RS04660	EC:3.6.3.17
H16_RS05630	EC:4.99.1.1
H16_RS26870	EC:2.3.1.8
H16_RS14610	EC:3.5.4.13
H16_RS02365	EC:3.5.2.3
H16_RS00580	EC:2.3.1.181
H16_RS05015	EC:3.5.2.17
H16_RS17050	EC:2.5.1.7
H16_RS11670	EC:6.3.1.2
H16_RS14580	EC:4.3.2.1
H16_RS00870	EC:2.6.1.62
H16_RS02310	EC:3.6.3.27
H16_RS26280	EC:2.8.1.7
H16_RS15235	EC:1.1.1.42
H16_RS07580	EC:1.1.1.35
H16_RS06825	EC:2.3.1.12
H16_RS01965	EC:3.6.4.12
H16_RS05975	EC:4.3.3.7
H16_RS00765	EC:6.1.1.19
H16_RS25565	EC:2.8.3.16
H16_RS15525	EC:2.4.99.17
H16_RS16320	EC:2.4.1.129
H16_RS04590	EC:3.5.1.106
H16_RS25250	EC:3.5.2.6
H16_RS04300	EC:4.2.1.17
H16_RS11165	EC:2.7.13.3
H16_RS25635	EC:3.1.3.18
H16_RS02275	EC:1.1.1.35
H16_RS00880	EC:6.3.3.3
H16_RS05260	EC:1.6.5.11
H16_RS01120	EC:2.5.1.6
H16_RS12310	EC:3.1.2.6
H16_RS19945	EC:3.1.1.61
H16_RS28450	EC:1.11.1.10
H16_RS08110	EC:1.18.1.3
H16_RS25840	EC:1.11.1.10
H16_RS06430	EC:6.2.1.26
H16_RS00020	EC:2.1.1.72
H16_RS02475	EC:2.1.2.3
H16_RS02475	EC:3.5.4.10
H16_RS15490	EC:1.5.1.2
H16_RS01605	EC:2.7.3.9
H16_RS15565	EC:2.7.13.3
H16_RS15200	EC:3.6.1.23
H16_RS27285	EC:4.1.1.8
H16_RS04560	EC:2.4.2.9
H16_RS05255	EC:1.6.5.11
H16_RS12490	EC:2.7.1.30
H16_RS13295	EC:3.6.3.41
H16_RS13975	EC:2.1.1.79
H16_RS26700	EC:3.5.4.25
H16_RS18605	EC:2.7.13.3
H16_RS09825	EC:6.2.1.3
H16_RS14250	EC:6.2.1.16
H16_RS06020	EC:2.7.4.1
H16_RS23190	EC:4.3.3.7
H16_RS23655	EC:2.6.1.19
H16_RS04545	EC:6.3.4.13
H16_RS13625	EC:2.5.1.1
H16_RS13625	EC:2.5.1.10
H16_RS17040	EC:1.1.1.23
H16_RS11705	EC:3.6.4.13
H16_RS13970	EC:1.4.3.5
H16_RS09085	EC:2.7.13.3
H16_RS17560	EC:1.14.13.149
H16_RS15030	EC:3.5.2.7
H16_RS19365	EC:4.2.1.40
PHG088	EC:1.12.1.2
H16_RS05230	EC:1.6.5.11
H16_RS29130	EC:2.7.13.3
H16_RS05720	EC:3.6.4.13
H16_RS18045	EC:1.3.98.3
H16_RS05830	EC:3.6.3.28
H16_RS10185	EC:3.1.26.4
H16_RS15740	EC:2.7.4.16
H16_RS13010	EC:2.1.1.72
H16_RS20220	EC:2.7.9.3
H16_RS11920	EC:4.1.3.4
PHG089	EC:1.12.1.2
H16_RS00810	EC:2.7.11.5
H16_RS25625	EC:2.7.2.3
H16_RS05695	EC:4.2.99.18
H16_RS03910	EC:5.99.1.3
H16_RS22905	EC:6.2.1.1
H16_RS23220	EC:3.6.3.12
H16_RS02810	EC:4.1.2.13
H16_RS06145	EC:4.2.1.33
H16_RS24955	EC:1.1.1.100
H16_RS18475	EC:3.5.1.88
H16_RS12850	EC:4.1.99.22
H16_RS22170	EC:2.8.3.16
H16_RS05235	EC:1.6.5.11
H16_RS02460	EC:3.6.4.12
H16_RS03315	EC:2.7.2.1
H16_RS07695	EC:4.2.1.33
H16_RS12735	EC:3.4.21.89
H16_RS09510	EC:4.2.1.3
H16_RS01855	EC:4.2.99.18
H16_RS01855	EC:3.2.2.23
H16_RS05195	EC:2.7.7.8
PHG090	EC:1.12.1.2
H16_RS25490	EC:6.2.1.30
H16_RS06960	EC:2.3.2.8
H16_RS02420	EC:6.1.1.1
H16_RS13655	EC:3.1.1.45
H16_RS15625	EC:1.6.1.2
H16_RS16515	EC:6.2.1.30
H16_RS27065	EC:3.7.1.2
H16_RS16280	EC:3.5.1.108
H16_RS07375	EC:3.4.21.53
H16_RS11875	EC:3.1.3.5
H16_RS12750	EC:3.4.21.107
H16_RS01010	EC:2.7.2.8
H16_RS07755	EC:2.7.1.217
H16_RS03015	EC:1.15.1.1
H16_RS25650	EC:3.1.3.11
H16_RS04685	EC:3.6.3.32
H16_RS10170	EC:2.7.9.2
H16_RS05360	EC:3.6.3.17
H16_RS26860	EC:1.3.1.9
H16_RS08120	EC:1.14.13.172
H16_RS01625	EC:2.7.7.80
H16_RS22915	EC:3.11.1.2
H16_RS08070	EC:2.1.1.77
H16_RS17955	EC:5.3.1.22
H16_RS28535	EC:1.2.1.3
H16_RS03920	EC:2.6.1.52
H16_RS19380	EC:1.2.1.4
H16_RS12600	EC:5.1.1.3
H16_RS14845	EC:6.2.1.26
H16_RS13095	EC:1.3.5.1
H16_RS21800	EC:4.1.3.4
H16_RS18470	EC:2.1.2.9
H16_RS02115	EC:2.4.1.15
H16_RS30135	EC:5.5.1.2
H16_RS11740	EC:3.1.13.1
H16_RS11085	EC:2.3.3.9
H16_RS20650	EC:2.3.1.9
H16_RS16535	EC:5.1.3.1
H16_RS07120	EC:5.4.99.23
H16_RS15185	EC:6.1.1.5
H16_RS10265	EC:2.7.7.59
PHG416	EC:4.1.2.13
H16_RS06670	EC:6.1.1.20
H16_RS14750	EC:6.3.2.1
H16_RS28125	EC:1.2.1.3
H16_RS01200	EC:1.5.1.20
H16_RS13990	EC:1.8.4.11
H16_RS11620	EC:1.2.4.2
H16_RS04525	EC:2.1.1.177
H16_RS30065	EC:4.2.1.33
H16_RS25670	EC:4.1.1.39
H16_RS27655	EC:1.1.1.53
H16_RS02940	EC:1.17.99.6
H16_RS08635	EC:3.5.1.4
H16_RS14035	EC:3.7.1.3
H16_RS15390	EC:3.6.3.41
H16_RS11810	EC:6.1.1.21
H16_RS09505	EC:2.3.3.16
H16_RS09505	EC:2.3.3.5
H16_RS08475	EC:6.2.1.26
H16_RS08475	EC:6.2.1.1
H16_RS27775	EC:3.6.3.28
H16_RS26945	EC:2.7.13.3
H16_RS29650	EC:6.3.1.2
H16_RS08385	EC:1.1.1.28
H16_RS18315	EC:3.6.3.4
H16_RS01805	EC:2.7.7.3
H16_RS06820	EC:1.2.4.1
H16_RS18365	EC:1.14.16.1
H16_RS18235	EC:3.6.3.28
H16_RS04970	EC:3.4.11.2
H16_RS19210	EC:4.3.1.7
H16_RS02425	EC:3.1.1.96
H16_RS04715	EC:2.7.7.56
H16_RS06470	EC:3.6.3.29
H16_RS01940	EC:2.4.2.7
H16_RS14190	EC:1.1.1.193
H16_RS12480	EC:3.5.1.10
H16_RS19405	EC:3.4.13.21
H16_RS04535	EC:2.7.7.18
H16_RS21700	EC:4.1.3.39
H16_RS06995	EC:1.14.13.208
H16_RS00855	EC:6.4.1.4
H16_RS15510	EC:1.11.1.6
H16_RS13695	EC:1.2.1.81
H16_RS19460	EC:2.3.1.12
H16_RS25630	EC:1.2.1.12
H16_RS17225	EC:4.2.1.24
H16_RS29630	EC:2.7.13.3
H16_RS21340	EC:2.7.13.3
H16_RS25385	EC:1.3.8.1
H16_RS00885	EC:2.8.1.6
PHG418	EC:1.2.1.12
H16_RS14120	EC:2.1.2.1
H16_RS13525	EC:6.1.1.17
H16_RS17030	EC:4.2.1.19
H16_RS15310	EC:2.5.1.75
H16_RS07740	EC:5.3.1.22
H16_RS31215	EC:1.1.1.100
H16_RS07355	EC:2.1.1.61
H16_RS01305	EC:1.16.3.1
H16_RS09805	EC:5.3.3.4
H16_RS03940	EC:2.5.1.19
H16_RS12700	EC:3.2.1.52
H16_RS11720	EC:5.3.1.6
H16_RS16540	EC:3.1.3.18
H16_RS06140	EC:4.2.1.33
H16_RS26525	EC:2.4.1.1
H16_RS15650	EC:1.2.1.41
H16_RS24820	EC:4.1.2.14
H16_RS24820	EC:4.1.3.16
H16_RS18210	EC:2.1.1.170
H16_RS11450	EC:3.1.2.4
H16_RS04740	EC:2.7.7.6
H16_RS09800	EC:5.5.1.1
H16_RS14560	EC:4.1.1.31
H16_RS12680	EC:2.7.8.5
H16_RS25655	EC:5.1.3.1
H16_RS25175	EC:2.7.8.37
H16_RS02775	EC:2.6.1.42
H16_RS14055	EC:1.11.1.7
H16_RS14055	EC:1.11.1.15
H16_RS14905	EC:3.4.11.1
H16_RS14905	EC:3.4.11.10
H16_RS09770	EC:1.3.1.25
H16_RS09580	EC:3.6.3.17
H16_RS19085	EC:3.5.1.49
H16_RS09910	EC:2.7.13.3
H16_RS01495	EC:2.1.1.191
H16_RS15190	EC:3.4.23.36
H16_RS05895	EC:4.2.1.11
H16_RS16600	EC:1.3.1.84
H16_RS04710	EC:3.6.1.66
H16_RS04255	EC:1.6.5.11
H16_RS14225	EC:2.5.1.78
H16_RS03985	EC:5.1.3.20
H16_RS11325	EC:1.1.1.3
H16_RS13020	EC:5.3.1.24
H16_RS25570	EC:6.2.1.3
H16_RS24710	EC:1.2.1.27
H16_RS07545	EC:6.2.1.3
H16_RS02575	EC:6.1.1.14
H16_RS30435	EC:2.7.13.3
PHG394	EC:5.5.1.1
H16_RS29370	EC:1.14.13.82
PHG420	EC:2.2.1.1
H16_RS02805	EC:2.7.1.40
H16_RS16330	EC:2.7.8.13
H16_RS09060	EC:1.1.1.30
H16_RS28715	EC:6.3.4.4
H16_RS15735	EC:1.1.1.40
H16_RS06835	EC:1.8.1.4
H16_RS17165	EC:2.4.1.129
H16_RS24375	EC:3.5.1.81
H16_RS00820	EC:2.3.1.9
H16_RS07300	EC:3.6.3.24
H16_RS21040	EC:3.6.3.31
H16_RS24705	EC:1.1.1.31
H16_RS09775	EC:1.18.1.3
H16_RS01445	EC:2.7.13.3
H16_RS08320	EC:3.6.4.12
H16_RS29890	EC:1.11.1.7
H16_RS29145	EC:2.7.13.3
H16_RS30120	EC:1.14.13.2
H16_RS18895	EC:1.1.1.335
H16_RS16815	EC:2.5.1.129
H16_RS05270	EC:1.6.5.11
H16_RS19240	EC:4.2.1.2
H16_RS21815	EC:6.3.1.2
H16_RS06800	EC:1.5.1.5
H16_RS06800	EC:3.5.4.9
H16_RS04225	EC:1.6.1.2
PHG421	EC:2.7.1.19
H16_RS11895	EC:2.7.13.3
H16_RS13080	EC:2.3.3.1
H16_RS01820	EC:3.1.1.29
H16_RS12010	EC:6.1.1.17
H16_RS05385	EC:3.5.1.5
H16_RS16185	EC:2.7.2.11
H16_RS05795	EC:6.1.1.6
H16_RS22220	EC:4.2.1.17
H16_RS12775	EC:2.3.1.179
H16_RS14335	EC:2.1.1.77
H16_RS09010	EC:1.2.1.10
H16_RS13995	EC:6.2.1.26
H16_RS07235	EC:4.6.1.12
H16_RS25995	EC:2.7.13.3
H16_RS15410	EC:2.5.1.17
H16_RS10120	EC:6.3.5.2
H16_RS19730	EC:2.3.1.174
H16_RS03780	EC:3.6.3.31
H16_RS01285	EC:2.6.1.16
H16_RS02980	EC:2.7.4.3
H16_RS07760	EC:1.1.1.31
H16_RS11515	EC:5.4.99.25
H16_RS17870	EC:3.1.2.6
H16_RS24730	EC:1.1.1.284
H16_RS12890	EC:6.3.4.21
H16_RS11630	EC:3.6.3.20
H16_RS13285	EC:5.99.1.3
H16_RS06080	EC:6.3.4.19
PHG200	EC:1.14.12.17
H16_RS09830	EC:1.3.8.4
H16_RS02095	EC:1.7.1.13
H16_RS10490	EC:3.5.1.1
H16_RS13135	EC:4.2.1.3
H16_RS12175	EC:2.7.4.1
H16_RS18525	EC:2.7.13.3
H16_RS17110	EC:1.4.1.13
H16_RS14940	EC:1.8.4.8
H16_RS18270	EC:1.6.5.3
H16_RS00190	EC:3.5.3.8
H16_RS13090	EC:1.3.5.1
H16_RS16390	EC:6.2.1.3
H16_RS15045	EC:4.3.1.3
H16_RS00875	EC:2.3.1.47
H16_RS01025	EC:2.3.1.46
H16_RS24380	EC:3.6.3.27
H16_RS08375	EC:1.1.1.28
H16_RS13050	EC:4.2.1.33
PHG022	EC:2.7.13.3
H16_RS30380	EC:1.1.1.100
H16_RS15795	EC:4.1.3.40
H16_RS05175	EC:2.3.3.13
H16_RS05750	EC:2.8.1.7
H16_RS18140	EC:4.1.1.37
H16_RS02610	EC:2.8.4.3
H16_RS26520	EC:2.4.1.25
H16_RS26690	EC:2.4.2.9
H16_RS16355	EC:2.1.1.199
H16_RS29170	EC:2.7.13.3
H16_RS28295	EC:1.14.13.208
H16_RS05225	EC:1.6.5.11
H16_RS25610	EC:3.6.4.12
H16_RS11615	EC:2.3.1.61
H16_RS16645	EC:1.2.1.70
H16_RS21405	EC:5.5.1.1
H16_RS13320	EC:2.7.7.6
H16_RS07590	EC:2.3.1.9
H16_RS15635	EC:2.1.1.72
H16_RS15635	EC:2.1.1.173
H16_RS15635	EC:2.1.1.264
H16_RS11725	EC:2.2.1.2
H16_RS12195	EC:3.6.3.27
H16_RS20730	EC:4.2.1.17
H16_RS10035	EC:2.4.2.4
H16_RS10190	EC:2.4.1.182
H16_RS14975	EC:1.1.1.31
H16_RS03755	EC:1.1.1.1
H16_RS03755	EC:1.1.1.4
PHG271	EC:1.7.99.4
H16_RS25245	EC:1.2.4.1
H16_RS01530	EC:2.7.3.9
H16_RS13715	EC:6.1.1.9
H16_RS06310	EC:2.7.4.1
H16_RS01190	EC:3.3.1.1
H16_RS08890	EC:1.3.1.32
H16_RS14500	EC:4.2.1.46
H16_RS10225	EC:1.1.1.267
H16_RS27475	EC:1.1.1.31
H16_RS21495	EC:4.3.1.19
H16_RS11835	EC:2.7.4.6
H16_RS29725	EC:2.5.1.32
H16_RS16310	EC:6.3.2.8
H16_RS05220	EC:1.6.5.11
H16_RS13710	EC:3.6.4.12
H16_RS12725	EC:3.1.26.3
H16_RS21525	EC:2.4.2.19
H16_RS00660	EC:2.7.7.70
PHG091	EC:1.12.1.2
H16_RS05570	EC:2.5.1.54
H16_RS05040	EC:3.5.4.2
H16_RS09490	EC:2.5.1.47
H16_RS13045	EC:4.2.1.33
H16_RS16285	EC:1.11.1.15
H16_RS22310	EC:3.6.3.31
H16_RS28880	EC:4.2.1.70
H16_RS20125	EC:4.1.2.13
H16_RS07175	EC:2.3.1.9
H16_RS31420	EC:2.1.1.63
H16_RS23210	EC:2.7.13.3
H16_RS11845	EC:2.1.1.190
H16_RS13035	EC:1.2.1.11
H16_RS22095	EC:1.1.1.50
H16_RS15345	EC:6.3.3.1
H16_RS16575	EC:3.6.1.7
H16_RS27400	EC:1.2.1.3
H16_RS23660	EC:1.2.1.16
H16_RS05285	EC:1.6.5.11
H16_RS12180	EC:2.7.13.3
H16_RS12260	EC:6.3.5.5
H16_RS09835	EC:6.4.1.4
H16_RS07470	EC:5.1.99.6
H16_RS07470	EC:4.2.1.136
H16_RS17000	EC:3.6.1.31
H16_RS16560	EC:4.1.1.48
H16_RS11180	EC:3.6.3.25
H16_RS14235	EC:2.6.1.1
H16_RS20985	EC:2.5.1.18
H16_RS03425	EC:2.7.13.3
H16_RS06085	EC:2.7.2.4
H16_RS21480	EC:1.2.1.10
H16_RS25225	EC:3.6.3.28
H16_RS19720	EC:2.8.3.6
H16_RS23180	EC:3.6.3.36
H16_RS26325	EC:1.3.99.16
H16_RS10500	EC:3.6.3.41
H16_RS16695	EC:1.17.1.8
H16_RS14245	EC:4.1.1.98
H16_RS26210	EC:1.1.1.49
H16_RS03730	EC:1.8.1.9
H16_RS02190	EC:2.1.1.163
H16_RS02190	EC:2.1.1.201
H16_RS13465	EC:1.5.1.3
H16_RS06965	EC:2.3.2.6
H16_RS29540	EC:1.17.7.4
H16_RS05535	EC:1.2.1.65
H16_RS05535	EC:1.2.1.67
H16_RS24385	EC:3.6.3.24
H16_RS28475	EC:3.11.1.2
H16_RS01920	EC:5.3.1.13
H16_RS19940	EC:3.5.1.44
H16_RS10550	EC:5.1.1.1
H16_RS08945	EC:3.3.2.9
H16_RS25645	EC:2.7.1.19
H16_RS18295	EC:1.2.1.27
H16_RS15270	EC:2.1.3.3
H16_RS07210	EC:3.1.3.3
H16_RS12710	EC:2.6.99.2
H16_RS00300	EC:2.5.1.18
H16_RS25865	EC:3.1.26.5
H16_RS00965	EC:3.4.25.2
H16_RS12800	EC:2.3.1.n2
H16_RS21485	EC:4.1.3.39
H16_RS06385	EC:1.13.11.24
H16_RS09520	EC:4.2.1.79
H16_RS16755	EC:3.6.3.17
H16_RS26865	EC:2.7.2.1
H16_RS09600	EC:4.3.99.3
H16_RS21515	EC:2.7.4.23
H16_RS21515	EC:2.4.2.4
H16_RS02820	EC:5.4.99.18
H16_RS01070	EC:1.2.1.38
